example,file,refined,ndofs,nnz,spsolve_cpu_s,transfer_s,tol,maxiter,none_status,none_precond_s,none_solve_s,none_readback_s,none_total_s,none_converged,none_iters,none_relres,none_max_abs_diff,none_mean_abs_diff,none_speedup_total,jacobi_status,jacobi_precond_s,jacobi_solve_s,jacobi_readback_s,jacobi_total_s,jacobi_converged,jacobi_iters,jacobi_relres,jacobi_max_abs_diff,jacobi_mean_abs_diff,jacobi_speedup_total,ilu0_status,ilu0_precond_s,ilu0_solve_s,ilu0_readback_s,ilu0_total_s,ilu0_converged,ilu0_iters,ilu0_relres,ilu0_max_abs_diff,ilu0_mean_abs_diff,ilu0_speedup_total,block_jacobi_status,block_jacobi_precond_s,block_jacobi_solve_s,block_jacobi_readback_s,block_jacobi_total_s,block_jacobi_converged,block_jacobi_iters,block_jacobi_relres,block_jacobi_max_abs_diff,block_jacobi_mean_abs_diff,block_jacobi_speedup_total,polynomial_status,polynomial_precond_s,polynomial_solve_s,polynomial_readback_s,polynomial_total_s,polynomial_converged,polynomial_iters,polynomial_relres,polynomial_max_abs_diff,polynomial_mean_abs_diff,polynomial_speedup_total
3,ex03.py,1,2000,16576,0.002099,0.001222,1e-05,5000,converged,2e-06,0.028758,2.1e-05,0.030003,1,18,5.387e-06,0.0001196,3.787e-06,0.06995967069959672,converged,0.026256,0.002242,2.1e-05,0.02974,1,11,7.787e-06,9.925e-05,6.796e-06,0.07057834566240755,converged,0.044913,0.001465,2e-05,0.04762,1,1,2.531e-16,1.554e-15,1.063e-16,0.04407811843763125,converged,0.025629,0.003324,3.2e-05,0.030207,1,10,4.435e-06,8.056e-05,3.917e-06,0.06948720495249446,converged,0.001191,0.034822,2.3e-05,0.037257,1,98,6.164e-06,1.538e-05,2.581e-06,0.056338406205545276
3,ex03.py,2,7524,64900,0.013099,0.001224,1e-05,5000,converged,2e-06,0.027718,3.4e-05,0.028978,1,17,6.058e-06,0.0003986,3.505e-06,0.4520325764372972,converged,0.025983,0.002138,3.2e-05,0.029378,1,10,8.618e-06,0.0001633,5.315e-06,0.44587786779222544,converged,0.059843,0.00933,3.2e-05,0.07043,1,2,2.273e-09,5.253e-08,1.082e-09,0.18598608547493964,converged,0.026648,0.003788,5.8e-05,0.031718,1,10,7.441e-06,0.0001106,8.202e-06,0.4129831641339302,converged,0.001089,0.117074,3.3e-05,0.11942,1,341,8.191e-06,2.389e-05,3.427e-06,0.10968849438954949
3,ex03.py,3,16576,144976,0.034702,0.002289,1e-05,5000,converged,2e-06,0.027689,5.3e-05,0.030033,1,17,4.763e-06,0.0004461,2.27e-06,1.1554623247760796,converged,0.031528,0.002455,5.4e-05,0.036327,1,10,5.832e-06,0.0001709,2.907e-06,0.9552674319376772,converged,0.092717,0.007498,5.3e-05,0.102557,1,2,4.692e-09,6.057e-08,2.323e-09,0.33836793197928955,converged,0.032306,0.004021,0.000149,0.038765,1,9,5.613e-06,0.0004056,2.976e-06,0.8951889591126014,converged,0.001537,0.336212,5.1e-05,0.34009,1,910,8.133e-06,2.323e-05,3.257e-06,0.1020376959040254
3,ex03.py,4,29156,256804,0.065761,0.002532,1e-05,5000,converged,3e-06,0.024947,8e-05,0.027561,1,16,9.929e-06,0.0008854,4.191e-06,2.3860164725517943,converged,0.030321,0.002371,7.5e-05,0.0353,1,9,9.328e-06,0.0003962,3.671e-06,1.862917847025496,converged,0.122586,0.007809,7.1e-05,0.132998,1,2,5.981e-09,7.816e-08,3.467e-09,0.49445104437660714,converged,0.034018,0.004756,0.000194,0.0415,1,10,5.026e-06,0.0001462,5.518e-06,1.584602409638554,converged,0.00141,0.542086,7.2e-05,0.5461,1,1464,9.667e-06,2.501e-05,4.165e-06,0.120419337117744
3,ex03.py,5,45264,400384,0.11307,0.003195,1e-05,5000,converged,2e-06,0.026631,0.000134,0.029961,1,16,8.496e-06,0.0009672,3.249e-06,3.7739060779012714,converged,0.031518,0.002508,0.000107,0.037328,1,9,7.631e-06,0.0003998,2.533e-06,3.0290934419202746,converged,0.171162,0.019369,0.000144,0.193869,1,2,6.513e-09,7.681e-08,3.989e-09,0.5832288813580304,converged,0.031158,0.003454,0.000287,0.038095,1,8,8.707e-06,0.0009283,3.384e-06,2.968106050662817,converged,0.001351,0.984719,9.9e-05,0.989363,1,2618,9.922e-06,3.498e-05,3.932e-06,0.1142856565284936
3,ex03.py,6,64900,575716,0.197927,0.006431,1e-05,5000,converged,2e-06,0.022931,0.000214,0.029578,1,16,7.509e-06,0.001044,2.614e-06,6.691696531205626,converged,0.030733,0.002787,0.000149,0.0401,1,9,6.499e-06,0.0004043,1.872e-06,4.935835411471322,converged,0.247283,0.033446,0.000136,0.287297,1,2,6.156e-09,8.788e-08,3.955e-09,0.6889281823339609,converged,0.033231,0.004846,0.000376,0.044884,1,9,9.304e-06,0.0005959,8.605e-06,4.4097451207557254,converged,0.001481,1.245764,0.000133,1.253809,1,3289,9.908e-06,2.828e-05,4.059e-06,0.15786056727938624
3,ex03.py,7,88064,782800,0.311119,0.006547,1e-05,5000,converged,2e-06,0.024879,0.000367,0.031795,1,16,6.764e-06,0.001113,2.17e-06,9.785154898568958,converged,0.03003,0.002842,0.000186,0.039604,1,9,5.686e-06,0.0004092,1.455e-06,7.855746894253105,converged,0.308927,0.033551,0.000528,0.349553,1,2,6.94e-09,9.919e-08,4.519e-09,0.8900481472051448,converged,0.04805,0.005784,0.00053,0.060912,1,8,7.147e-06,0.001026,2.303e-06,5.107679931704754,converged,0.002199,1.599197,0.000169,1.608112,1,4115,9.956e-06,2.405e-05,4.253e-06,0.19346848975693234
3,ex03.py,8,114756,1021636,0.411709,0.006884,1e-05,5000,converged,2e-06,0.025357,0.000518,0.032762,1,15,9.784e-06,0.002474,2.786e-06,12.566662596911055,converged,0.07597,0.010067,0.000323,0.093244,1,9,5.073e-06,0.0004143,1.171e-06,4.415394019990563,converged,0.440348,0.02907,0.000604,0.476906,1,2,7.195e-09,1.124e-07,4.765e-09,0.8632917178647365,converged,0.036029,0.004884,0.001016,0.048814,1,9,7.903e-06,0.0006813,6.706e-06,8.4342401769984,converged,0.001492,1.815673,0.000337,1.824387,1,4508,9.999e-06,2.422e-05,4.234e-06,0.22566977291550533
3,ex03.py,9,144976,1292224,0.498894,0.012452,1e-05,5000,converged,2e-06,0.02537,0.000603,0.038427,1,15,8.992e-06,0.002564,2.373e-06,12.982902646576624,converged,0.031169,0.002901,0.000274,0.046796,1,8,9.357e-06,0.001126,1.957e-06,10.661039405077357,converged,0.465413,0.031905,0.000397,0.510166,1,2,7.554e-09,1.334e-07,5.108e-09,0.9779052308464303,converged,0.032433,0.004479,0.00103,0.050393,1,8,6.147e-06,0.001105,1.767e-06,9.900065485285655,maxiter,0.001822,2.212156,0.000258,2.226687,0,5000,3.3e-05,7.537e-05,1.393e-05,0.22405214563160425
3,ex03.py,10,178724,1594564,0.683456,0.012549,1e-05,5000,converged,2e-06,0.022649,0.001103,0.036304,1,15,8.34e-06,0.002647,2.055e-06,18.825914499779635,converged,0.03065,0.003236,0.000433,0.046868,1,8,8.568e-06,0.001146,1.654e-06,14.5825723308014,converged,0.536553,0.035258,0.000909,0.585269,1,2,7.954e-09,1.494e-07,5.447e-09,1.1677638829324635,converged,0.033053,0.005241,0.000909,0.051753,1,9,6.976e-06,0.0007519,5.483e-06,13.206113655247037,maxiter,0.001655,2.771704,0.000411,2.786318,0,5000,0.0003246,0.0007323,0.0001298,0.24529002073704434
