example,levels_done,max_ndofs,reason
3,54,5156356,reached_dof_cap
6,8,4190209,oom
7,5,491520,exit_-11
9,0,0,no_linear_solve
10,4,261121,timeout
11,2,101277,exit_-11
12,5,2095105,exit_-11
13,50,2357355,spsolve_cap_exceeded
14,5,1050625,timeout
15,100,899,reached_max_level_100
16,0,0,no_linear_solve
20,5,2095105,spsolve_cap_exceeded
22,8,3141633,exit_1
30,2,63001,timeout
33,2,146692,spsolve_cap_exceeded
35,6,2656705,spsolve_cap_exceeded
38,4,2095105,exit_-11
40,6,3143680,exit_-11
41,2,34,no_mesh_growth
43,7,41850,timeout
44,16,4194305,exit_1
47,100,1901,reached_max_level_100
48,3,1048577,spsolve_cap_exceeded
49,5,961,exit_1
