level,pts_per_dir,ndofs,nnz,spsolve_cpu_s,transfer_s,tol,maxiter,cpu_none_precond_s,cpu_none_solve_s,cpu_none_readback_s,cpu_none_status,cpu_none_converged,cpu_none_iters,cpu_none_relres,cpu_none_mean_abs_diff,cpu_none_max_abs_diff,cpu_jacobi_precond_s,cpu_jacobi_solve_s,cpu_jacobi_readback_s,cpu_jacobi_status,cpu_jacobi_converged,cpu_jacobi_iters,cpu_jacobi_relres,cpu_jacobi_mean_abs_diff,cpu_jacobi_max_abs_diff,cpu_block_jacobi_precond_s,cpu_block_jacobi_solve_s,cpu_block_jacobi_readback_s,cpu_block_jacobi_status,cpu_block_jacobi_converged,cpu_block_jacobi_iters,cpu_block_jacobi_relres,cpu_block_jacobi_mean_abs_diff,cpu_block_jacobi_max_abs_diff,cpu_polynomial_precond_s,cpu_polynomial_solve_s,cpu_polynomial_readback_s,cpu_polynomial_status,cpu_polynomial_converged,cpu_polynomial_iters,cpu_polynomial_relres,cpu_polynomial_mean_abs_diff,cpu_polynomial_max_abs_diff,gpu_none_precond_s,gpu_none_solve_s,gpu_none_readback_s,gpu_none_status,gpu_none_converged,gpu_none_iters,gpu_none_relres,gpu_none_mean_abs_diff,gpu_none_max_abs_diff,gpu_jacobi_precond_s,gpu_jacobi_solve_s,gpu_jacobi_readback_s,gpu_jacobi_status,gpu_jacobi_converged,gpu_jacobi_iters,gpu_jacobi_relres,gpu_jacobi_mean_abs_diff,gpu_jacobi_max_abs_diff,gpu_block_jacobi_precond_s,gpu_block_jacobi_solve_s,gpu_block_jacobi_readback_s,gpu_block_jacobi_status,gpu_block_jacobi_converged,gpu_block_jacobi_iters,gpu_block_jacobi_relres,gpu_block_jacobi_mean_abs_diff,gpu_block_jacobi_max_abs_diff,gpu_polynomial_precond_s,gpu_polynomial_solve_s,gpu_polynomial_readback_s,gpu_polynomial_status,gpu_polynomial_converged,gpu_polynomial_iters,gpu_polynomial_relres,gpu_polynomial_mean_abs_diff,gpu_polynomial_max_abs_diff
1,6,665,8777,0.0032146789999387693,0.0003612529999372782,1e-05,5000,8.800002433417831e-07,0.0013007550001020718,0.0,converged,1,88,9.204736579735455e-06,1.019351449247431e-06,5.506310944349002e-06,6.38920000710641e-05,0.0011853759997393354,0.0,converged,1,84,7.208531933834447e-06,5.378962014196212e-07,2.900487741666624e-06,0.0003185049999956391,0.0014484449998235505,0.0,converged,1,72,6.758711600582231e-06,4.778634106359388e-07,2.2589102608092104e-06,7.087700032570865e-05,0.006452821000038966,0.0,converged,1,174,9.854753659825981e-06,7.326501396152528e-07,3.1553293482824984e-06,1.359000179945724e-06,0.0151941959998112,2.1844000002602115e-05,converged,1,88,8.808702436004133e-06,1.0181410516734702e-06,5.495546673329327e-06,0.028125677999923937,0.014980308999838599,1.8877999991673278e-05,converged,1,84,7.080121689854787e-06,5.377221709758188e-07,2.896884057385085e-06,0.02682818599987513,0.022905601999809733,2.5343999823235208e-05,converged,1,72,6.758711600334745e-06,4.778634106213408e-07,2.258910261006969e-06,0.0013480279999384948,0.06330551699966236,1.7240000033780234e-05,converged,1,171,7.6774591658928e-06,1.5027752345080722e-07,7.971561728215004e-07
2,7,1206,16566,0.007534491999649617,0.0003429439998399175,1e-05,5000,8.080000952759292e-07,0.002054692999990948,0.0,converged,1,121,7.245144362196416e-06,4.1375045431028613e-07,2.027900119674908e-06,4.530300020633149e-05,0.0018142280000574829,0.0,converged,1,107,9.9357320710277e-06,9.150963173036841e-07,4.78668143318213e-06,0.0003835420002360479,0.0022774249996473372,0.0,converged,1,92,8.35127467389072e-06,2.7170672372871855e-07,1.5010955683666949e-06,7.672099991395953e-05,0.014855812999940099,0.0,converged,1,284,9.92423742196217e-06,1.32930938237505e-07,6.584211438426246e-07,9.67000232776627e-07,0.02030636500012406,1.9453999811958056e-05,converged,1,120,9.28378842450047e-06,4.226957515754613e-07,2.039706449824541e-06,0.008344852999925934,0.018568781000340095,1.839400010794634e-05,converged,1,107,9.924326677534382e-06,9.148529604380433e-07,4.7870947879804365e-06,0.0011168910000378673,0.027531264000117517,2.090900034090737e-05,converged,1,92,8.35285997979598e-06,2.717101072964748e-07,1.5021864908336402e-06,0.0004153610002504138,0.10911748599983184,1.978999989660224e-05,converged,1,295,9.851356241832307e-06,1.3756373309031442e-07,6.745288194387467e-07
3,8,1981,27973,0.017776999000034266,0.0003685030001179257,1e-05,5000,6.860000212327577e-07,0.0034586899996611464,0.0,converged,1,145,9.665004606838599e-06,7.364625726297239e-07,4.773011120912151e-06,6.309699983830797e-05,0.0032568540000283974,0.0,converged,1,138,9.498819775171536e-06,3.3187408602707336e-07,2.1882230254093114e-06,0.0005828109997310094,0.0036146430002190755,0.0,converged,1,107,8.946126970891121e-06,3.2056227606070336e-07,1.498383556392327e-06,0.00010985199969582027,0.05636792900031651,0.0,converged,1,728,8.88949713663743e-06,1.0590804466794596e-07,5.48427555896458e-07,1.097000222216593e-06,0.02735177400018074,2.2522999643115327e-05,converged,1,145,9.696297141838951e-06,7.361861139514283e-07,4.769698014023488e-06,0.0002850159999070456,0.024274458000036248,2.2899000214238185e-05,converged,1,138,9.569891213107814e-06,3.3195395514847297e-07,2.188248791735233e-06,0.001144250000379543,0.03285608099986348,2.0063000192749314e-05,converged,1,107,8.946126971666503e-06,3.2056227603909185e-07,1.4983835561373227e-06,0.0004313179997552652,0.26107058500019775,2.6091000108863227e-05,converged,1,709,9.829097015567035e-06,1.0843480639422364e-07,5.819762612241375e-07
4,10,4401,64401,0.09737089000009291,0.0004934390003654698,1e-05,5000,1.059999704011716e-06,0.008740241999930731,0.0,converged,1,206,9.914877806021576e-06,3.3769168219300674e-07,1.8548704837015317e-06,9.426600036022137e-05,0.007803449000221008,0.0,converged,1,186,9.851076442319344e-06,5.593235020782588e-07,3.7366493417980567e-06,0.0009977729996535345,0.008801000999937969,0.0,converged,1,142,9.830615154226329e-06,2.2966557183068624e-07,1.4039324218589888e-06,0.00019929700010834495,0.24355204299990874,0.0,converged,1,1644,9.927254135071773e-06,2.0604081868917257e-08,1.439293323031443e-07,1.2239997886354104e-06,0.03797984299990276,2.811700005622697e-05,converged,1,206,9.881958429419688e-06,3.37773576600779e-07,1.8549335843234815e-06,0.0002873109997381107,0.034380561000034504,2.7459999728307594e-05,converged,1,186,9.899383867712627e-06,5.591953513858163e-07,3.7363123656947855e-06,0.0013725980002163851,0.04382715100018686,3.438700014157803e-05,converged,1,142,9.828722598671769e-06,2.2967865115717774e-07,1.4040423142284986e-06,0.0004446770003596612,0.6199868580001748,3.790299979300471e-05,converged,1,1627,9.86870876658064e-06,1.995010044876967e-08,1.3365848694490978e-07
5,12,8261,123581,0.3585674360001576,0.0006609970000681642,1e-05,5000,1.3469998521031812e-06,0.020604619000096136,0.0,converged,1,262,9.931309325745137e-06,3.6852472403611934e-07,2.797505566930897e-06,0.000150360000134242,0.020244691999778297,0.0,converged,1,252,9.633499159100818e-06,1.5299914676761078e-07,1.1585904021518822e-06,0.0017534469998281565,0.022136783999940235,0.0,converged,1,180,8.978028569051873e-06,2.70225786641281e-07,2.283123006027732e-06,0.0003454099996815785,0.7715409209999962,0.0,converged,1,2739,9.922533370533052e-06,1.2373413982741703e-08,1.0667498201097358e-07,1.294999947276665e-06,0.04345565799985707,3.4197999866592e-05,converged,1,262,9.897829892440596e-06,3.6860938294790345e-07,2.7979741665344615e-06,0.00029865200031053973,0.04376203499987241,3.37360002049536e-05,converged,1,252,9.654508754126691e-06,1.5288228611750622e-07,1.1574036600306425e-06,0.00132429100040099,0.05526644000019587,3.3910000183823286e-05,converged,1,180,8.978028125427095e-06,2.702257864849331e-07,2.2831230505650224e-06,0.0005569850000028964,1.007505732000027,3.208299995094421e-05,converged,1,2720,9.914261699877841e-06,1.2088280555236609e-08,1.0315845927477696e-07
6,14,13897,211033,1.3811056200001985,0.0027886420002687373,1e-05,5000,1.1100000847363845e-06,0.7256329630004075,0.0,converged,1,335,9.376545729796407e-06,1.2884079563716042e-07,1.1423286103220964e-06,0.00026899100021182676,0.10981637700024294,0.0,converged,1,302,8.907288209396486e-06,1.567260985229788e-07,1.2815112146805085e-06,0.0038981580000836402,0.08151852900027734,0.0,converged,1,209,9.755937197055536e-06,2.1655566162665166e-07,3.878216710472178e-06,0.0008234230003836274,6.6518534880001425,0.0,maxiter,0,5000,0.00038593114143119537,2.0852838423662828e-07,2.226655054400617e-06,2.615000084915664e-06,0.10502982399975735,4.325500003687921e-05,converged,1,335,9.22002225402073e-06,1.2866824470934627e-07,1.1407079627268057e-06,0.0003243109999857552,0.06409160099974542,6.376900000759633e-05,converged,1,302,8.886017555633314e-06,1.566908750505178e-07,1.280576760596952e-06,0.0022723109996150015,0.07452898500014271,6.465500018748571e-05,converged,1,209,9.755937196304551e-06,2.1655566163108572e-07,3.8782167105053545e-06,0.0006035530000190192,1.9481318859998282,4.421799985721009e-05,maxiter,0,5000,0.0003840514382288152,2.3262280984412432e-07,2.5382440594287625e-06
7,16,21645,332277,4.1259469639999224,0.01979605399992579,1e-05,5000,9.4600000011269e-07,0.39328526899998906,0.0,converged,1,390,8.945448359829939e-06,1.2080762935757777e-07,1.2384368303711146e-06,0.00035455899978842353,0.1730200279998826,0.0,converged,1,351,9.094883164750627e-06,1.5742855887250006e-07,1.4636017845112703e-06,0.01001155399990239,0.20390012400002888,0.0,converged,1,259,9.081755939425623e-06,8.343793701888056e-08,6.93535625945034e-07,0.0012389280000206782,32.16364630599992,0.0,maxiter,0,5000,0.0008861892661876221,3.1339038739168934e-06,3.0468238755881893e-05,2.2599997464567423e-06,0.09903372200005833,6.528199992317241e-05,converged,1,390,8.920516197864263e-06,1.207827290126098e-07,1.2384006971011274e-06,0.000694993999786675,0.09393839100039258,6.516500025099958e-05,converged,1,351,9.119860383596727e-06,1.573642920663342e-07,1.4628284043388673e-06,0.0031430439998985094,0.11432284399961645,6.372600000759121e-05,converged,1,259,9.081755927964083e-06,8.343793703382742e-08,6.935356255234962e-07,0.0007913549998193048,2.0702397419995577,5.63739999961399e-05,maxiter,0,5000,0.0007479948894564564,3.015513030706768e-06,2.8911132583291088e-05
8,19,37962,589578,18.868255038999905,0.021714941000027466,1e-05,5000,8.600000001024455e-07,0.3885840359998838,0.0,converged,1,472,9.57012120274633e-06,1.0822378995380892e-07,1.3790170275557179e-06,0.000591960999827279,0.2721905319999678,0.0,converged,1,424,9.440674824429565e-06,1.5263864609722285e-07,1.705631359559534e-06,0.013843588999861822,0.33925823499976104,0.0,converged,1,294,9.555946219701295e-06,1.5952819441481124e-07,2.5384530223413826e-06,0.0028627269998651173,40.138331192999885,0.0,maxiter,0,5000,0.007188300760845391,1.2527981028386089e-05,8.42358780876705e-05,1.8689997887122445e-06,0.13027147100001457,9.618800004318473e-05,converged,1,472,9.624479370243288e-06,1.0820726039988564e-07,1.3789137170081012e-06,0.00041264099991167313,0.11653668999997535,9.386200008520973e-05,converged,1,424,9.506565828525973e-06,1.5265302586519558e-07,1.7057339616668998e-06,0.0027339759999449598,0.13246796800012817,0.00010076900025524083,converged,1,294,9.555946259508097e-06,1.5952819440745065e-07,2.538453022718143e-06,0.000861136999901646,2.0501213509996887,8.744300021135132e-05,maxiter,0,5000,0.007116828967382312,1.2435717486680024e-05,8.346906483345032e-05
9,23,70246,1102438,70.96193957500009,0.0414139869999417,1e-05,5000,1.2760001482092775e-06,7.6430303239999375,0.0,converged,1,581,9.50957377285309e-06,9.417098058839247e-08,1.3895801442391498e-06,0.003622443000040221,6.291727080000328,0.0,converged,1,522,8.903108713328588e-06,1.410978765275242e-07,1.8425549752482118e-06,0.03240393400028552,5.327059100000042,0.0,converged,1,385,9.922601977540941e-06,4.627430053777862e-08,4.438220845594254e-07,0.0056101290001606685,45.004660822000005,0.0,timeout,0,3786,nan,nan,nan,4.701999841927318e-06,0.17376021200016112,0.00015512000027229078,converged,1,581,9.487830705914783e-06,9.416674107498826e-08,1.3895019792611873e-06,0.0005375989999265585,0.1325497049997466,0.0001388010000482609,converged,1,522,8.948652818398914e-06,1.4115378655236343e-07,1.8430085234263927e-06,0.0024005139998735103,0.15982656500000303,0.0001472610001655994,converged,1,385,9.92260194670627e-06,4.627430054353579e-08,4.438220842853391e-07,0.0010802780002450163,2.102439138000136,0.00022502499996335246,maxiter,0,5000,0.031027940059822744,3.628395974177275e-05,0.00019205953054236488
10,27,117026,1849826,646.535602382,0.018392656999822066,1e-05,5000,1.0879998626478482e-06,3.460346586000014,0.0,converged,1,689,9.907107752109181e-06,8.435681183629552e-08,1.1364491648881148e-06,0.0032946819997050625,6.31022007699994,0.0,converged,1,618,9.71668418966983e-06,1.282700851076309e-07,1.5431418069894454e-06,0.04417423599988979,9.784294649000003,0.0,converged,1,430,9.858438370772136e-06,1.1481386433485344e-07,1.7880573145915939e-06,0.021633910000218748,45.00204034100034,0.0,timeout,0,1756,nan,nan,nan,2.2309995983960107e-06,0.2192648149998604,0.00023886000008133124,converged,1,689,9.887433466378128e-06,8.435927458527336e-08,1.1364901207049777e-06,0.0007764729998598341,0.18179765200011389,0.00023946200008140295,converged,1,618,9.693138144656976e-06,1.2827742510736747e-07,1.5432252386607392e-06,0.004217649000111123,0.22344236599974465,0.00023344900000665803,converged,1,430,9.858438372825656e-06,1.1481386433787298e-07,1.7880573147472582e-06,0.0012235200001669,2.862780043999919,0.00022042099999453058,maxiter,0,5000,0.13449651220127506,0.0001633590097703577,0.0007817165510882844
