refined_times,total_seconds,solver_direct_seconds,solve_spsolve_cpu_seconds,solver_percent_of_total
5,0.489629,0.002139,0.002100,0.44
6,0.491011,0.004618,0.004585,0.94
7,0.534923,0.010911,0.010855,2.04
8,0.609335,0.027706,0.027608,4.55
9,0.667917,0.065661,0.065567,9.83
10,0.673566,0.106493,0.106409,15.81
11,0.803048,0.201109,0.201025,25.04
12,1.031422,0.392396,0.392316,38.04
13,1.424011,0.750135,0.750024,52.68
14,2.156874,1.462958,1.462873,67.83
15,3.144356,2.374865,2.374776,75.53
16,4.690167,3.878514,3.878430,82.69
17,7.159927,6.274427,6.274343,87.63
18,9.664503,8.664225,8.664138,89.65
19,16.539865,15.430400,15.430306,93.29
20,20.517483,19.288227,19.288133,94.01
21,33.434143,32.141249,32.141157,96.13
22,59.754105,58.275471,58.275375,97.53
23,60.896240,59.227705,59.227606,97.26
24,80.568397,78.777377,78.777279,97.78
25,216.025827,214.030813,214.030712,99.08
26,256.684308,254.401984,254.401883,99.11
27,388.959475,386.439671,386.439568,99.35
28,440.819857,438.053306,438.053208,99.37
29,741.713208,738.717633,738.717535,99.60
30,855.876602,852.637018,852.636919,99.62
