precision,ndofs,requested_tol,status,iters,attained_relres,mean_abs_diff,max_abs_diff,solve_s
fp64,21645,0.001,converged,230,0.0008888990696116833,1.5305179305781692e-05,0.00010527470681546275,0.04469753800003673
fp64,21645,0.0001,converged,276,9.989319554190422e-05,3.0862747970022806e-06,2.144336189782714e-05,0.061626875000001746
fp64,21645,1e-05,converged,351,9.119860383596727e-06,1.573642920663342e-07,1.4628284043388673e-06,0.07863527599965892
fp64,21645,1e-06,converged,414,9.299951837556708e-07,1.6201150235889605e-08,1.820367205307427e-07,0.09313279100024374
fp64,21645,1e-07,converged,475,8.564909799649394e-08,1.3632878735011792e-09,1.4534480952121953e-08,0.10484058699967136
fp64,21645,1e-08,converged,534,9.058918366606855e-09,1.216628914845378e-10,1.1110327449714852e-09,0.11811020200002531
fp64,21645,1e-09,converged,587,8.600100481953447e-10,1.1450962182384282e-11,9.70542951561626e-11,0.11857154400058789
fp64,21645,1e-10,converged,645,9.780206791126113e-11,1.1845348145657836e-12,8.557030084510586e-12,0.1326560530005736
fp32,21645,0.001,converged,231,0.0009000564931334257,1.5410627541270027e-05,0.00010443228068201388,0.09660988199993881
fp32,21645,0.0001,converged,277,0.00014083167603813938,3.226333358220269e-06,2.148582152892292e-05,0.04995883799983858
fp32,21645,1e-05,converged,353,0.00011285444172295167,7.675546162593147e-07,3.581671030594702e-06,0.062477297999976145
fp32,21645,1e-06,converged,432,0.00012572877798207438,7.375912944674402e-07,3.6076709802462803e-06,0.08662560099946859
fp32,21645,1e-07,converged,515,0.00013237190801587811,7.369759968472003e-07,3.6076709802462803e-06,0.09098944199922698
fp32,21645,1e-08,converged,595,0.0001324654173199372,7.369516532693185e-07,3.6076709802462803e-06,0.09814161800022703
fp32,21645,1e-09,converged,652,0.00013246499060708128,7.369517580902111e-07,3.6076709802462803e-06,0.10515658399981476
fp32,21645,1e-10,converged,730,0.00013246470718294512,7.369517831806258e-07,3.6076709802462803e-06,0.11583675899964874
